targetFix	distractorFix	othersFix	startOfBin	trialID	target	distractor	sound	absoluteTime	Critical.Or.Not
0	0	0	0	I203	undef	undef	lootball	38679.825	I
0	0	0	10	I203	undef	undef	lootball	38689.825	I
0	0	0	20	I203	undef	undef	lootball	38699.825	I
0	0	0	30	I203	undef	undef	lootball	38709.825	I
0	0	0	40	I203	undef	undef	lootball	38719.825	I
0	0	0	50	I203	undef	undef	lootball	38729.825	I
0	0	0	60	I203	undef	undef	lootball	38739.825	I
0	0	0	70	I203	undef	undef	lootball	38749.825	I
0	0	2	80	I203	undef	undef	lootball	38759.825	I
0	0	4	90	I203	undef	undef	lootball	38769.825	I
0	0	3	100	I203	undef	undef	lootball	38779.825	I
0	0	2	110	I203	undef	undef	lootball	38789.825	I
0	0	4	120	I203	undef	undef	lootball	38799.825	I
0	0	3	130	I203	undef	undef	lootball	38809.825	I
0	0	3	140	I203	undef	undef	lootball	38819.825	I
0	0	2	150	I203	undef	undef	lootball	38829.825	I
0	0	4	160	I203	undef	undef	lootball	38839.825	I
0	0	3	170	I203	undef	undef	lootball	38849.825	I
0	0	2	180	I203	undef	undef	lootball	38859.825	I
0	0	4	190	I203	undef	undef	lootball	38869.825	I
0	0	3	200	I203	undef	undef	lootball	38879.825	I
0	0	2	210	I203	undef	undef	lootball	38889.825	I
0	0	4	220	I203	undef	undef	lootball	38899.825	I
0	0	3	230	I203	undef	undef	lootball	38909.825	I
0	0	3	240	I203	undef	undef	lootball	38919.825	I
0	0	3	250	I203	undef	undef	lootball	38929.825	I
0	0	3	260	I203	undef	undef	lootball	38939.825	I
0	0	3	270	I203	undef	undef	lootball	38949.825	I
0	0	2	280	I203	undef	undef	lootball	38959.825	I
0	0	4	290	I203	undef	undef	lootball	38969.825	I
0	0	3	300	I203	undef	undef	lootball	38979.825	I
0	0	3	310	I203	undef	undef	lootball	38989.825	I
0	0	0	320	I203	undef	undef	lootball	38999.825	I
0	0	1	330	I203	undef	undef	lootball	39009.825	I
0	0	3	340	I203	undef	undef	lootball	39019.825	I
0	0	3	350	I203	undef	undef	lootball	39029.825	I
0	0	3	360	I203	undef	undef	lootball	39039.825	I
0	0	3	370	I203	undef	undef	lootball	39049.825	I
0	0	3	380	I203	undef	undef	lootball	39059.825	I
0	0	3	390	I203	undef	undef	lootball	39069.825	I
0	0	3	400	I203	undef	undef	lootball	39079.825	I
0	0	3	410	I203	undef	undef	lootball	39089.825	I
0	0	3	420	I203	undef	undef	lootball	39099.825	I
0	0	3	430	I203	undef	undef	lootball	39109.825	I
0	0	3	440	I203	undef	undef	lootball	39119.825	I
0	0	3	450	I203	undef	undef	lootball	39129.825	I
0	0	3	460	I203	undef	undef	lootball	39139.825	I
0	0	3	470	I203	undef	undef	lootball	39149.825	I
0	0	3	480	I203	undef	undef	lootball	39159.825	I
0	0	3	490	I203	undef	undef	lootball	39169.825	I
0	0	3	500	I203	undef	undef	lootball	39179.825	I
0	0	3	510	I203	undef	undef	lootball	39189.825	I
0	0	3	520	I203	undef	undef	lootball	39199.825	I
0	0	3	530	I203	undef	undef	lootball	39209.825	I
0	0	3	540	I203	undef	undef	lootball	39219.825	I
0	0	3	550	I203	undef	undef	lootball	39229.825	I
0	0	0	560	I203	undef	undef	lootball	39239.825	I
0	0	0	570	I203	undef	undef	lootball	39249.825	I
0	0	0	580	I203	undef	undef	lootball	39259.825	I
0	0	0	590	I203	undef	undef	lootball	39269.825	I
0	0	0	600	I203	undef	undef	lootball	39279.825	I
0	0	0	610	I203	undef	undef	lootball	39289.825	I
0	0	0	620	I203	undef	undef	lootball	39299.825	I
0	0	0	630	I203	undef	undef	lootball	39309.825	I
0	0	0	640	I203	undef	undef	lootball	39319.825	I
0	0	1	650	I203	undef	undef	lootball	39329.825	I
0	0	3	660	I203	undef	undef	lootball	39339.825	I
0	0	3	670	I203	undef	undef	lootball	39349.825	I
0	0	3	680	I203	undef	undef	lootball	39359.825	I
0	0	3	690	I203	undef	undef	lootball	39369.825	I
0	0	3	700	I203	undef	undef	lootball	39379.825	I
0	0	3	710	I203	undef	undef	lootball	39389.825	I
0	0	3	720	I203	undef	undef	lootball	39399.825	I
0	0	3	730	I203	undef	undef	lootball	39409.825	I
0	0	3	740	I203	undef	undef	lootball	39419.825	I
0	0	3	750	I203	undef	undef	lootball	39429.825	I
0	0	3	760	I203	undef	undef	lootball	39439.825	I
0	0	3	770	I203	undef	undef	lootball	39449.825	I
0	0	3	780	I203	undef	undef	lootball	39459.825	I
